AbstractKeyword                              : 8356
AccessorList                                 : 8895
AddAccessorDeclaration                       : 8898
AddAssignmentExpression                      : 8715
AddExpression                                : 8668
AddKeyword                                   : 8419
AddressOfExpression                          : 8737
AliasKeyword                                 : 8407
AliasQualifiedName                           : 8620
AmpersandAmpersandToken                      : 8261
AmpersandEqualsToken                         : 8279
AmpersandToken                               : 8198
AndAssignmentExpression                      : 8720
AndKeyword                                   : 8439
AndPattern                                   : 9032
AnnotationsKeyword                           : 8489
AnonymousMethodExpression                    : 8641
AnonymousObjectCreationExpression            : 8650
AnonymousObjectMemberDeclarator              : 8647
ArgListExpression                            : 8748
ArgListKeyword                               : 8366
Argument                                     : 8638
ArgumentList                                 : 8636
ArrayCreationExpression                      : 8651
ArrayInitializerExpression                   : 8646
ArrayRankSpecifier                           : 8623
ArrayType                                    : 8622
ArrowExpressionClause                        : 8917
AscendingKeyword                             : 8432
AscendingOrdering                            : 8782
AsExpression                                 : 8687
AsKeyword                                    : 8364
AssemblyKeyword                              : 8409
AsteriskEqualsToken                          : 8277
AsteriskToken                                : 8199
AsyncKeyword                                 : 8435
Attribute                                    : 8849
AttributeArgument                            : 8851
AttributeArgumentList                        : 8850
AttributeList                                : 8847
AttributeTargetSpecifier                     : 8848
AwaitExpression                              : 8740
AwaitKeyword                                 : 8436
BackslashToken                               : 8210
BadDirectiveTrivia                           : 8562
BadToken                                     : 8507
BarBarToken                                  : 8260
BarEqualsToken                               : 8278
BarToken                                     : 8209
BaseConstructorInitializer                   : 8889
BaseExpression                               : 8747
BaseKeyword                                  : 8371
BaseList                                     : 8864
BitwiseAndExpression                         : 8678
BitwiseNotExpression                         : 8732
BitwiseOrExpression                          : 8677
Block                                        : 8792
BoolKeyword                                  : 8304
BracketedArgumentList                        : 8637
BracketedParameterList                       : 8907
BreakKeyword                                 : 8339
BreakStatement                               : 8803
ByKeyword                                    : 8427
ByteKeyword                                  : 8305
CaretEqualsToken                             : 8282
CaretToken                                   : 8197
CaseKeyword                                  : 8332
CasePatternSwitchLabel                       : 9009
CaseSwitchLabel                              : 8823
CastExpression                               : 8640
CatchClause                                  : 8826
CatchDeclaration                             : 8827
CatchFilterClause                            : 8828
CatchKeyword                                 : 8335
CharacterLiteralExpression                   : 8751
CharacterLiteralToken                        : 8510
CharKeyword                                  : 8317
CheckedExpression                            : 8762
CheckedKeyword                               : 8379
CheckedStatement                             : 8815
ChecksumKeyword                              : 8478
ClassConstraint                              : 8868
ClassDeclaration                             : 8855
ClassKeyword                                 : 8374
CloseBraceToken                              : 8206
CloseBracketToken                            : 8208
CloseParenToken                              : 8201
CoalesceAssignmentExpression                 : 8725
CoalesceExpression                           : 8688
CollectionInitializerExpression              : 8645
ColonColonToken                              : 8264
ColonToken                                   : 8211
CommaToken                                   : 8216
CompilationUnit                              : 8840
ComplexElementInitializerExpression          : 8648
ConditionalAccessExpression                  : 8691
ConditionalExpression                        : 8633
ConflictMarkerTrivia                         : 8564
ConstantPattern                              : 9002
ConstKeyword                                 : 8350
ConstructorConstraint                        : 8867
ConstructorDeclaration                       : 8878
ContinueKeyword                              : 8340
ContinueStatement                            : 8804
ConversionOperatorDeclaration                : 8877
ConversionOperatorMemberCref                 : 8602
CrefBracketedParameterList                   : 8604
CrefParameter                                : 8605
CrefParameterList                            : 8603
DecimalKeyword                               : 8315
DeclarationExpression                        : 9040
DeclarationPattern                           : 9000
DefaultConstraint                            : 9064
DefaultExpression                            : 8764
DefaultKeyword                               : 8333
DefaultLiteralExpression                     : 8755
DefaultSwitchLabel                           : 8824
DefineDirectiveTrivia                        : 8554
DefineKeyword                                : 8471
DelegateDeclaration                          : 8859
DelegateKeyword                              : 8378
DescendingKeyword                            : 8433
DescendingOrdering                           : 8783
DestructorDeclaration                        : 8891
DisabledTextTrivia                           : 8546
DisableKeyword                               : 8479
DiscardDesignation                           : 9014
DiscardPattern                               : 9024
DivideAssignmentExpression                   : 8718
DivideExpression                             : 8671
DocumentationCommentExteriorTrivia           : 8543
DoKeyword                                    : 8330
DollarToken                                  : 8195
DoStatement                                  : 8810
DotDotToken                                  : 8222
DotToken                                     : 8218
DoubleKeyword                                : 8313
DoubleQuoteToken                             : 8213
ElementAccessExpression                      : 8635
ElementBindingExpression                     : 8708
ElifDirectiveTrivia                          : 8549
ElifKeyword                                  : 8467
ElseClause                                   : 8820
ElseDirectiveTrivia                          : 8550
ElseKeyword                                  : 8326
EmptyStatement                               : 8798
EnableKeyword                                : 8487
EndIfDirectiveTrivia                         : 8551
EndIfKeyword                                 : 8468
EndOfDirectiveToken                          : 8494
EndOfDocumentationCommentToken               : 8495
EndOfFileToken                               : 8496
EndOfLineTrivia                              : 8539
EndRegionDirectiveTrivia                     : 8553
EndRegionKeyword                             : 8470
EnumDeclaration                              : 8858
EnumKeyword                                  : 8377
EnumMemberDeclaration                        : 8872
EqualsEqualsToken                            : 8268
